model,nsims,scipytime,rtol,atol,mxsteps,t_end,n_steps,cpu,GHz,num_cpu
ras,1000,11.2302949429,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,8
ras,10000,111.949896812,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,8
ras,100000,1060.88198996,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,8
ras,10,0.128623008728,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
ras,100,1.14283394814,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
ras,1000,6.4198410511,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
ras,10000,70.9914770126,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
ras,100000,690.936547995,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
ras,10,0.154975891113,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
ras,100,1.43476700783,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
ras,1000,5.60254693031,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
ras,10000,55.0522689819,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
ras,100000,518.582473993,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
tyson,10,0.0968050956726,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,100,0.788511037827,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,1000,7.77997016907,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,10000,79.9875259399,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,100000,772.789634943,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,10,0.0535550117493,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,2
tyson,100,0.41846704483,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,2
tyson,1000,3.94069290161,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,2
tyson,10000,48.317535162,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,2
tyson,100000,392.549685001,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,2
tyson,10,0.0289359092712,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,4
tyson,100,0.233603000641,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,4
tyson,1000,2.0803861618,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,4
tyson,10000,20.7755970955,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,4
tyson,100000,219.184955835,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,4
tyson,10,0.0223319530487,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,8
tyson,100,0.13723897934,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,8
tyson,1000,1.32382416725,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,8
tyson,10000,12.7327799797,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,8
tyson,100000,123.109431028,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,8
tyson,10,0.0312180519104,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
tyson,100,0.131322860718,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
tyson,1000,0.949042081833,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
tyson,10000,8.76059985161,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
tyson,100000,80.9269821644,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,16
tyson,10,0.0220589637756,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
tyson,100,0.104202985764,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
tyson,1000,0.66347193718,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
tyson,10000,6.30634784698,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
tyson,100000,62.6508529186,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,32
