model,nsims,scipytime,rtol,atol,mxsteps,t_end,n_steps,cpu,GHz,num_cpu
earm,32,2.76662611961,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,64,5.50919699669,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,128,11.0552048683,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,256,21.234855175,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,512,42.7391951084,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,1024,87.8707051277,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,2048,180.11580205,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,4096,378.047014952,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,8192,760.699659824,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,16384,1471.23235488,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,32768,2924.87814498,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,65536,5784.66117311,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
